 #m    e    m2    e2    
  0.7300     -1.4675      0.5329      2.1536
  0.5950     -1.3125      0.3540      1.7227
  0.5000     -1.4325      0.2500      2.0521
  0.6763     -1.3475      0.4573      1.8158
  0.5312     -1.3025      0.2822      1.6965
  0.6863     -1.3950      0.4709      1.9460
  0.7662     -1.4600      0.5871      2.1316
  0.7025     -1.4900      0.4935      2.2201
  0.4562     -1.3325      0.2082      1.7756
  0.7325     -1.3875      0.5366      1.9252
  0.0688     -1.2800      0.0047      1.6384
  0.0387     -1.2875      0.0015      1.6577
  0.0988     -1.2975      0.0098      1.6835
  0.4000     -1.2950      0.1600      1.6770
  0.6362     -1.3600      0.4048      1.8496
  0.8237     -1.5400      0.6786      2.3716
  0.7063     -1.4750      0.4988      2.1756
  0.4600     -1.3900      0.2116      1.9321
  0.4637     -1.3675      0.2151      1.8701
  0.7662     -1.4975      0.5871      2.2425
  0.7212     -1.4675      0.5202      2.1536
  0.7800     -1.5050      0.6084      2.2650
  0.7037     -1.4275      0.4953      2.0378
  0.6587     -1.4825      0.4340      2.1978
  0.7800     -1.4625      0.6084      2.1389
  0.6713     -1.4250      0.4506      2.0306
  0.7163     -1.5175      0.5130      2.3028
  0.2637     -1.2600      0.0696      1.5876
  0.8450     -1.5900      0.7140      2.5281
  0.4988     -1.3850      0.2488      1.9182
  0.6488     -1.4525      0.4209      2.1098
  0.7700     -1.4400      0.5929      2.0736
  0.6312     -1.3225      0.3985      1.7490
  0.3713     -1.4050      0.1378      1.9740
  0.6737     -1.3800      0.4539      1.9044
  0.6188     -1.3475      0.3829      1.8158
  0.8037     -1.5350      0.6460      2.3562
  0.7087     -1.4200      0.5023      2.0164
  0.4950     -1.3400      0.2450      1.7956
  0.2150     -1.3625      0.0462      1.8564
  0.5913     -1.4325      0.3496      2.0521
  0.5750     -1.3650      0.3306      1.8632
  0.8025     -1.5325      0.6440      2.3486
  0.5112     -1.4200      0.2614      2.0164
  0.6650     -1.3500      0.4422      1.8225
  0.6763     -1.3500      0.4573      1.8225
  0.6925     -1.4175      0.4796      2.0093
  0.5225     -1.3025      0.2730      1.6965
  0.7312     -1.4100      0.5347      1.9881
  0.5875     -1.3125      0.3452      1.7227
  0.6038     -1.3075      0.3645      1.7096
  0.6813     -1.4375      0.4641      2.0664
  0.7562     -1.4575      0.5719      2.1243
  0.7775     -1.5125      0.6045      2.2877
 -0.4725     -1.3275      0.2233      1.7623
 -0.6138     -1.4600      0.3767      2.1316
 -0.6000     -1.3475      0.3600      1.8158
  0.6837     -1.4425      0.4675      2.0808
  0.7400     -1.5075      0.5476      2.2726
  0.6450     -1.3275      0.4160      1.7623
  0.6925     -1.4250      0.4796      2.0306
  0.6400     -1.4150      0.4096      2.0022
  0.7338     -1.4275      0.5384      2.0378
  0.5737     -1.3850      0.3292      1.9182
  0.1950     -1.2700      0.0380      1.6129
  0.6188     -1.3875      0.3829      1.9252
  0.4238     -1.2800      0.1796      1.6384
  0.3375     -1.2025      0.1139      1.4460
  0.7788     -1.5025      0.6065      2.2575
  0.4825     -1.3225      0.2328      1.7490
  0.6687     -1.4150      0.4472      2.0022
  0.4850     -1.3500      0.2352      1.8225
  0.4675     -1.3950      0.2186      1.9460
  0.6275     -1.3825      0.3938      1.9113
  0.6338     -1.3400      0.4016      1.7956
  0.4662     -1.3775      0.2174      1.8975
  0.6675     -1.4300      0.4456      2.0449
  0.6200     -1.4450      0.3844      2.0880
  0.6850     -1.4075      0.4692      1.9811
  0.5337     -1.3000      0.2849      1.6900
  0.7087     -1.4300      0.5023      2.0449
  0.8063     -1.4975      0.6500      2.2425
  0.1263     -1.2975      0.0159      1.6835
 -0.2875     -1.4125      0.0827      1.9952
 -0.5613     -1.3625      0.3150      1.8564
 -0.5675     -1.3700      0.3221      1.8769
 -0.6188     -1.4550      0.3829      2.1170
 -0.3925     -1.2275      0.1541      1.5068
 -0.7425     -1.4500      0.5513      2.1025
 -0.4138     -1.3475      0.1712      1.8158
 -0.5038     -1.3900      0.2538      1.9321
 -0.7100     -1.3825      0.5041      1.9113
 -0.4650     -1.2775      0.2162      1.6320
 -0.5238     -1.3625      0.2743      1.8564
 -0.0013     -1.1925      0.0000      1.4221
 -0.6288     -1.4600      0.3953      2.1316
 -0.8000     -1.4875      0.6400      2.2127
 -0.6837     -1.4175      0.4675      2.0093
 -0.4350     -1.3075      0.1892      1.7096
 -0.0225     -1.2925      0.0005      1.6706
  0.6300     -1.4075      0.3969      1.9811
  0.6650     -1.3400      0.4422      1.7956
  0.7575     -1.4600      0.5738      2.1316
 -0.0587     -1.3650      0.0035      1.8632
  0.1462     -1.2500      0.0214      1.5625
  0.0288     -1.2700      0.0008      1.6129
 -0.3688     -1.2800      0.1360      1.6384
  0.5325     -1.4700      0.2836      2.1609
  0.6587     -1.4050      0.4340      1.9740
  0.2662     -1.3100      0.0709      1.7161
  0.7037     -1.4800      0.4953      2.1904
  0.7113     -1.3925      0.5059      1.9391
  0.5988     -1.4325      0.3585      2.0521
  0.7362     -1.4450      0.5421      2.0880
  0.5800     -1.3175      0.3364      1.7358
  0.6362     -1.4525      0.4048      2.1098
  0.7275     -1.4150      0.5293      2.0022
  0.6900     -1.3925      0.4761      1.9391
  0.5900     -1.3825      0.3481      1.9113
  0.6425     -1.4150      0.4128      2.0022
  0.7288     -1.4775      0.5311      2.1830
  0.5500     -1.3225      0.3025      1.7490
  0.0975     -1.3350      0.0095      1.7822
  0.4738     -1.2800      0.2244      1.6384
  0.5463     -1.3675      0.2984      1.8701
  0.7812     -1.5400      0.6104      2.3716
  0.5250     -1.3600      0.2756      1.8496
  0.5850     -1.3450      0.3422      1.8090
  0.8137     -1.5600      0.6622      2.4336
  0.5312     -1.3950      0.2822      1.9460
  0.4225     -1.2950      0.1785      1.6770
  0.6438     -1.4325      0.4144      2.0521
  0.1988     -1.3175      0.0395      1.7358
  0.4662     -1.3400      0.2174      1.7956
  0.6038     -1.2350      0.3645      1.5252
  0.6550     -1.3825      0.4290      1.9113
  0.3987     -1.2400      0.1590      1.5376
  0.7975     -1.5250      0.6360      2.3256
  0.5775     -1.3975      0.3335      1.9530
  0.7137     -1.4400      0.5094      2.0736
  0.7250     -1.4375      0.5256      2.0664
  0.7050     -1.4225      0.4970      2.0235
  0.5025     -1.4775      0.2525      2.1830
  0.7400     -1.4675      0.5476      2.1536
  0.5437     -1.3325      0.2957      1.7756
  0.5100     -1.4075      0.2601      1.9811
  0.5975     -1.3875      0.3570      1.9252
  0.5262     -1.4050      0.2769      1.9740
  0.7275     -1.4550      0.5293      2.1170
  0.6175     -1.4375      0.3813      2.0664
  0.7963     -1.5275      0.6340      2.3333
  0.4800     -1.4475      0.2304      2.0953
 -0.2325     -1.2675      0.0541      1.6066
 -0.6600     -1.3700      0.4356      1.8769
 -0.4612     -1.3250      0.2128      1.7556
 -0.6687     -1.3500      0.4472      1.8225
 -0.6462     -1.3925      0.4176      1.9391
 -0.7562     -1.4650      0.5719      2.1462
 -0.5238     -1.3050      0.2743      1.7030
 -0.7125     -1.3825      0.5077      1.9113
 -0.7550     -1.4775      0.5700      2.1830
 -0.8662     -1.6650      0.7504      2.7722
 -0.5887     -1.4250      0.3466      2.0306
 -0.4988     -1.2775      0.2488      1.6320
 -0.4850     -1.2050      0.2352      1.4520
 -0.1562     -1.3225      0.0244      1.7490
 -0.5200     -1.3800      0.2704      1.9044
 -0.7562     -1.4150      0.5719      2.0022
 -0.6637     -1.3950      0.4406      1.9460
 -0.3700     -1.4375      0.1369      2.0664
 -0.6012     -1.4225      0.3615      2.0235
 -0.7200     -1.3750      0.5184      1.8906
 -0.6863     -1.4450      0.4709      2.0880
 -0.5400     -1.3775      0.2916      1.8975
 -0.8500     -1.5925      0.7225      2.5361
 -0.4600     -1.3000      0.2116      1.6900
 -0.7037     -1.4350      0.4953      2.0592
 -0.8237     -1.5575      0.6786      2.4258
 -0.4963     -1.3800      0.2463      1.9044
 -0.4662     -1.3550      0.2174      1.8360
 -0.8025     -1.4725      0.6440      2.1683
 -0.5913     -1.4125      0.3496      1.9952
 -0.5750     -1.3675      0.3306      1.8701
 -0.8213     -1.5250      0.6745      2.3256
 -0.7137     -1.4400      0.5094      2.0736
 -0.3387     -1.2925      0.1148      1.6706
 -0.3075     -1.2250      0.0946      1.5006
 -0.6937     -1.4150      0.4813      2.0022
 -0.6575     -1.3550      0.4323      1.8360
 -0.7150     -1.4025      0.5112      1.9670
 -0.6188     -1.3725      0.3829      1.8838
 -0.7000     -1.4075      0.4900      1.9811
 -0.7200     -1.4475      0.5184      2.0953
 -0.6075     -1.3950      0.3691      1.9460
 -0.7375     -1.4475      0.5439      2.0953
  0.0450     -1.2650      0.0020      1.6002
  0.5325     -1.3500      0.2836      1.8225
  0.4125     -1.3700      0.1702      1.8769
  0.5112     -1.3525      0.2614      1.8293
  0.6175     -1.2850      0.3813      1.6512
  0.6713     -1.4250      0.4506      2.0306
  0.5550     -1.3675      0.3080      1.8701
  0.6088     -1.4350      0.3706      2.0592
  0.6462     -1.4075      0.4176      1.9811
  0.6088     -1.3750      0.3706      1.8906
  0.5775     -1.3925      0.3335      1.9391
  0.2025     -1.3075      0.0410      1.7096
  0.7525     -1.4500      0.5663      2.1025
  0.7887     -1.4975      0.6221      2.2425
  0.5025     -1.3650      0.2525      1.8632
  0.5700     -1.4000      0.3249      1.9600
  0.5487     -1.3500      0.3011      1.8225
  0.6062     -1.3550      0.3675      1.8360
  0.7000     -1.4375      0.4900      2.0664
  0.6875     -1.3975      0.4727      1.9530
  0.4863     -1.3975      0.2364      1.9530
  0.6412     -1.3900      0.4112      1.9321
  0.5725     -1.3875      0.3278      1.9252
  0.7063     -1.4700      0.4988      2.1609
  0.3812     -1.2600      0.1454      1.5876
  0.5225     -1.2125      0.2730      1.4702
  0.6637     -1.4525      0.4406      2.1098
  0.7488     -1.5000      0.5606      2.2500
  0.6300     -1.3625      0.3969      1.8564
  0.7250     -1.4125      0.5256      1.9952
  0.3438     -1.3275      0.1182      1.7623
  0.7788     -1.5150      0.6065      2.2952
  0.1725     -1.2950      0.0298      1.6770
  0.2650     -1.2900      0.0702      1.6641
  0.3463     -1.2975      0.1199      1.6835
 -0.3850     -1.3125      0.1482      1.7227
 -0.6687     -1.3850      0.4472      1.9182
 -0.7562     -1.4475      0.5719      2.0953
 -0.7850     -1.5875      0.6162      2.5202
 -0.2975     -1.2075      0.0885      1.4581
 -0.7312     -1.4925      0.5347      2.2276
 -0.7000     -1.3950      0.4900      1.9460
 -0.6625     -1.3675      0.4389      1.8701
 -0.1600     -1.3550      0.0256      1.8360
 -0.6438     -1.3850      0.4144      1.9182
 -0.6388     -1.3800      0.4080      1.9044
 -0.4625     -1.3700      0.2139      1.8769
 -0.4975     -1.3750      0.2475      1.8906
 -0.2075     -1.2600      0.0431      1.5876
 -0.6075     -1.3675      0.3691      1.8701
 -0.6950     -1.3950      0.4830      1.9460
 -0.6950     -1.4750      0.4830      2.1756
 -0.7550     -1.5075      0.5700      2.2726
 -0.6338     -1.3950      0.4016      1.9460
 -0.6937     -1.3525      0.4813      1.8293
 -0.5975     -1.3025      0.3570      1.6965
 -0.6200     -1.4500      0.3844      2.1025
 -0.6800     -1.4100      0.4624      1.9881
 -0.6350     -1.3875      0.4032      1.9252
 -0.5125     -1.3750      0.2627      1.8906
 -0.6875     -1.3600      0.4727      1.8496
 -0.6238     -1.3050      0.3891      1.7030
 -0.5038     -1.2825      0.2538      1.6448
 -0.2288     -1.3550      0.0523      1.8360
 -0.6863     -1.4975      0.4709      2.2425
 -0.5763     -1.4050      0.3321      1.9740
 -0.5450     -1.3275      0.2970      1.7623
 -0.1862     -1.3150      0.0347      1.7292
  0.5350     -1.3950      0.2862      1.9460
  0.8050     -1.5125      0.6480      2.2877
  0.3812     -1.3525      0.1454      1.8293
  0.2913     -1.4150      0.0848      2.0022
  0.3375     -1.2550      0.1139      1.5750
 -0.0050     -1.2500      0.0000      1.5625
 -0.6875     -1.4900      0.4727      2.2201
 -0.6750     -1.3900      0.4556      1.9321
 -0.6162     -1.4050      0.3798      1.9740
 -0.6225     -1.4350      0.3875      2.0592
 -0.7863     -1.4850      0.6182      2.2052
 -0.6288     -1.4400      0.3953      2.0736
 -0.4300     -1.3725      0.1849      1.8838
 -0.6462     -1.4500      0.4176      2.1025
 -0.6713     -1.4575      0.4506      2.1243
 -0.3038     -1.2525      0.0923      1.5688
 -0.7725     -1.4600      0.5968      2.1316
 -0.6963     -1.4025      0.4848      1.9670
 -0.7675     -1.4450      0.5891      2.0880
 -0.4138     -1.3725      0.1712      1.8838
 -0.1037     -1.3275      0.0108      1.7623
  0.7250     -1.3925      0.5256      1.9391
  0.7412     -1.4075      0.5495      1.9811
  0.6713     -1.4900      0.4506      2.2201
  0.4988     -1.2525      0.2488      1.5688
  0.7063     -1.4575      0.4988      2.1243
  0.7388     -1.4100      0.5458      1.9881
 -0.3337     -1.2550      0.1114      1.5750
 -0.6425     -1.3600      0.4128      1.8496
 -0.6825     -1.4525      0.4658      2.1098
 -0.8125     -1.5700      0.6602      2.4649
 -0.7812     -1.5350      0.6104      2.3562
 -0.7400     -1.4975      0.5476      2.2425
 -0.6388     -1.4025      0.4080      1.9670
 -0.5787     -1.3650      0.3350      1.8632
 -0.6500     -1.3625      0.4225      1.8564
 -0.5600     -1.3450      0.3136      1.8090
  0.1888     -1.1900      0.0356      1.4161
  0.7475     -1.4375      0.5588      2.0664
  0.6275     -1.3750      0.3938      1.8906
  0.7725     -1.4800      0.5968      2.1904
  0.7462     -1.4475      0.5569      2.0953
  0.6512     -1.3600      0.4241      1.8496
  0.6813     -1.3675      0.4641      1.8701
  0.6012     -1.4600      0.3615      2.1316
  0.2737     -1.3275      0.0749      1.7623
  0.5463     -1.3725      0.2984      1.8838
  0.3800     -1.2475      0.1444      1.5563
  0.8300     -1.6050      0.6889      2.5760
  0.7650     -1.4575      0.5852      2.1243
  0.4825     -1.2800      0.2328      1.6384
  0.7388     -1.4850      0.5458      2.2052
  0.7525     -1.4900      0.5663      2.2201
  0.7238     -1.4000      0.5238      1.9600
  0.6125     -1.4550      0.3752      2.1170
  0.8550     -1.5950      0.7310      2.5440
  0.2137     -1.2950      0.0457      1.6770
  0.7788     -1.4750      0.6065      2.1756
  0.6713     -1.3600      0.4506      1.8496
  0.7100     -1.4525      0.5041      2.1098
  0.7300     -1.4375      0.5329      2.0664
  0.4788     -1.3325      0.2292      1.7756
  0.7150     -1.4050      0.5112      1.9740
  0.4562     -1.3450      0.2082      1.8090
  0.5212     -1.3675      0.2717      1.8701
 -0.0100     -1.2475      0.0001      1.5563
 -0.6450     -1.3800      0.4160      1.9044
 -0.1675     -1.2900      0.0281      1.6641
 -0.7800     -1.5325      0.6084      2.3486
 -0.7963     -1.4975      0.6340      2.2425
 -0.7200     -1.4250      0.5184      2.0306
 -0.3513     -1.2500      0.1234      1.5625
  0.0850     -1.1750      0.0072      1.3806
  0.2487     -1.1650      0.0619      1.3572
  0.1938     -1.3300      0.0375      1.7689
  0.4050     -1.2800      0.1640      1.6384
  0.1338     -1.3450      0.0179      1.8090
 -0.2487     -1.3400      0.0619      1.7956
 -0.5975     -1.3000      0.3570      1.6900
 -0.5375     -1.2825      0.2889      1.6448
 -0.7175     -1.3900      0.5148      1.9321
 -0.6212     -1.4075      0.3860      1.9811
 -0.4512     -1.3000      0.2036      1.6900
 -0.1375     -1.3750      0.0189      1.8906
  0.3075     -1.2350      0.0946      1.5252
  0.4700     -1.3700      0.2209      1.8769
  0.2662     -1.2550      0.0709      1.5750
  0.7000     -1.3925      0.4900      1.9391
  0.6200     -1.3775      0.3844      1.8975
  0.7212     -1.4950      0.5202      2.2350
  0.7650     -1.4400      0.5852      2.0736
  0.6887     -1.3225      0.4744      1.7490
  0.6400     -1.3900      0.4096      1.9321
  0.6325     -1.3925      0.4001      1.9391
  0.7375     -1.5375      0.5439      2.3639
  0.7188     -1.4175      0.5166      2.0093
  0.7925     -1.4975      0.6281      2.2425
  0.4163     -1.3450      0.1733      1.8090
  0.8100     -1.5050      0.6561      2.2650
  0.3275     -1.2825      0.1073      1.6448
  0.7050     -1.4650      0.4970      2.1462
  0.8087     -1.5500      0.6541      2.4025
  0.7137     -1.3900      0.5094      1.9321
  0.7137     -1.4600      0.5094      2.1316
  0.7588     -1.4550      0.5757      2.1170
  0.5813     -1.3050      0.3379      1.7030
  0.5637     -1.3575      0.3178      1.8428
  0.8000     -1.4950      0.6400      2.2350
  0.7037     -1.4500      0.4953      2.1025
  0.4888     -1.2925      0.2389      1.6706
  0.7750     -1.5325      0.6006      2.3486
  0.4963     -1.3700      0.2463      1.8769
  0.5175     -1.2900      0.2678      1.6641
 -0.3962     -1.3825      0.1570      1.9113
 -0.5463     -1.3750      0.2984      1.8906
 -0.1437     -1.2850      0.0207      1.6512
 -0.4387     -1.3375      0.1925      1.7889
 -0.5813     -1.4100      0.3379      1.9881
 -0.5687     -1.2725      0.3235      1.6193
 -0.7362     -1.4825      0.5421      2.1978
 -0.6475     -1.3850      0.4193      1.9182
 -0.7325     -1.3800      0.5366      1.9044
 -0.6925     -1.4350      0.4796      2.0592
 -0.7775     -1.4725      0.6045      2.1683
 -0.2800     -1.3700      0.0784      1.8769
  0.1400     -1.2825      0.0196      1.6448
  0.6325     -1.3475      0.4001      1.8158
  0.7625     -1.4300      0.5814      2.0449
  0.6587     -1.4150      0.4340      2.0022
  0.7550     -1.5250      0.5700      2.3256
  0.5288     -1.4625      0.2796      2.1389
  0.7500     -1.4525      0.5625      2.1098
  0.7000     -1.4550      0.4900      2.1170
  0.6863     -1.4075      0.4709      1.9811
  0.2387     -1.3650      0.0570      1.8632
  0.6375     -1.4075      0.4064      1.9811
  0.6987     -1.3525      0.4883      1.8293
