 #m    e    m2    e2    
  0.7312     -1.4950      0.5347      2.2350
  0.6400     -1.3500      0.4096      1.8225
  0.6400     -1.4175      0.4096      2.0093
  0.7388     -1.4950      0.5458      2.2350
  0.7825     -1.5225      0.6123      2.3180
  0.6438     -1.4375      0.4144      2.0664
  0.5337     -1.3275      0.2849      1.7623
  0.1375     -1.2075      0.0189      1.4581
  0.7025     -1.3525      0.4935      1.8293
  0.3088     -1.2725      0.0953      1.6193
  0.7800     -1.5375      0.6084      2.3639
  0.7050     -1.4575      0.4970      2.1243
  0.5375     -1.3575      0.2889      1.8428
  0.6663     -1.4025      0.4439      1.9670
  0.4562     -1.3500      0.2082      1.8225
  0.6325     -1.2975      0.4001      1.6835
  0.5775     -1.3625      0.3335      1.8564
  0.3713     -1.3550      0.1378      1.8360
  0.6950     -1.4450      0.4830      2.0880
  0.2762     -1.3400      0.0763      1.7956
  0.5975     -1.3800      0.3570      1.9044
  0.4888     -1.3375      0.2389      1.7889
  0.4763     -1.4225      0.2268      2.0235
  0.3300     -1.3400      0.1089      1.7956
  0.1575     -1.3250      0.0248      1.7556
 -0.5613     -1.2900      0.3150      1.6641
 -0.6238     -1.4375      0.3891      2.0664
 -0.5637     -1.4050      0.3178      1.9740
 -0.6475     -1.3900      0.4193      1.9321
 -0.7100     -1.3875      0.5041      1.9252
 -0.7588     -1.4350      0.5757      2.0592
 -0.6512     -1.3850      0.4241      1.9182
  0.1700     -1.2675      0.0289      1.6066
 -0.3500     -1.3275      0.1225      1.7623
 -0.4900     -1.2825      0.2401      1.6448
 -0.5312     -1.3625      0.2822      1.8564
 -0.4913     -1.4000      0.2413      1.9600
  0.1812     -1.2200      0.0329      1.4884
  0.8325     -1.5200      0.6931      2.3104
  0.7538     -1.4400      0.5681      2.0736
  0.7438     -1.4925      0.5532      2.2276
  0.7325     -1.4300      0.5366      2.0449
  0.7212     -1.4525      0.5202      2.1098
  0.4813     -1.4100      0.2316      1.9881
  0.4562     -1.3225      0.2082      1.7490
  0.4025     -1.3200      0.1620      1.7424
  0.2737     -1.2075      0.0749      1.4581
  0.8013     -1.5375      0.6420      2.3639
  0.6100     -1.3100      0.3721      1.7161
  0.7800     -1.4725      0.6084      2.1683
  0.5737     -1.2875      0.3292      1.6577
  0.7462     -1.5225      0.5569      2.3180
  0.7712     -1.4775      0.5948      2.1830
  0.6937     -1.4700      0.4813      2.1609
  0.4412     -1.3325      0.1947      1.7756
  0.6875     -1.4450      0.4727      2.0880
  0.8213     -1.4850      0.6745      2.2052
  0.6075     -1.2650      0.3691      1.6002
  0.3862     -1.4450      0.1492      2.0880
  0.4163     -1.3750      0.1733      1.8906
  0.1475     -1.2050      0.0218      1.4520
  0.5800     -1.4375      0.3364      2.0664
 -0.3800     -1.3050      0.1444      1.7030
 -0.3700     -1.3175      0.1369      1.7358
 -0.2550     -1.2100      0.0650      1.4641
 -0.5687     -1.3825      0.3235      1.9113
  0.0563     -1.2625      0.0032      1.5939
 -0.7825     -1.4425      0.6123      2.0808
 -0.4425     -1.3025      0.1958      1.6965
 -0.2662     -1.3100      0.0709      1.7161
  0.1313     -1.3300      0.0172      1.7689
 -0.2275     -1.3875      0.0518      1.9252
 -0.6062     -1.3725      0.3675      1.8838
 -0.6075     -1.3750      0.3691      1.8906
 -0.2050     -1.3125      0.0420      1.7227
 -0.1487     -1.3550      0.0221      1.8360
 -0.4387     -1.3325      0.1925      1.7756
 -0.4950     -1.3200      0.2450      1.7424
 -0.2487     -1.3250      0.0619      1.7556
 -0.5225     -1.3725      0.2730      1.8838
 -0.5088     -1.3475      0.2588      1.8158
  0.1913     -1.3200      0.0366      1.7424
 -0.3400     -1.3850      0.1156      1.9182
 -0.6450     -1.4125      0.4160      1.9952
 -0.3300     -1.2775      0.1089      1.6320
 -0.5875     -1.4025      0.3452      1.9670
 -0.7462     -1.4650      0.5569      2.1462
 -0.7450     -1.4725      0.5550      2.1683
 -0.4363     -1.2700      0.1903      1.6129
 -0.5813     -1.3350      0.3379      1.7822
 -0.5925     -1.3225      0.3511      1.7490
 -0.5350     -1.3375      0.2862      1.7889
 -0.4375     -1.3375      0.1914      1.7889
 -0.6075     -1.4225      0.3691      2.0235
 -0.5775     -1.2875      0.3335      1.6577
 -0.7438     -1.4575      0.5532      2.1243
 -0.7013     -1.3925      0.4918      1.9391
 -0.7712     -1.3950      0.5948      1.9460
 -0.4350     -1.3075      0.1892      1.7096
 -0.1725     -1.3500      0.0298      1.8225
  0.5637     -1.4125      0.3178      1.9952
  0.6175     -1.3975      0.3813      1.9530
  0.5975     -1.4200      0.3570      2.0164
 -0.3638     -1.2400      0.1323      1.5376
 -0.6050     -1.4725      0.3660      2.1683
 -0.6787     -1.3975      0.4607      1.9530
 -0.3550     -1.3425      0.1260      1.8023
 -0.6175     -1.4175      0.3813      2.0093
 -0.6250     -1.3325      0.3906      1.7756
 -0.5125     -1.3425      0.2627      1.8023
 -0.5663     -1.3500      0.3206      1.8225
  0.1363     -1.3175      0.0186      1.7358
  0.5062     -1.3850      0.2563      1.9182
  0.0088     -1.3600      0.0001      1.8496
  0.2313     -1.2825      0.0535      1.6448
  0.6800     -1.3975      0.4624      1.9530
  0.4637     -1.3100      0.2151      1.7161
 -0.0612     -1.2250      0.0038      1.5006
  0.4150     -1.3475      0.1722      1.8158
 -0.2775     -1.3625      0.0770      1.8564
 -0.4988     -1.3400      0.2488      1.7956
  0.2925     -1.2875      0.0856      1.6577
  0.6913     -1.4275      0.4778      2.0378
  0.2450     -1.2850      0.0600      1.6512
  0.3325     -1.3175      0.1106      1.7358
  0.6875     -1.4200      0.4727      2.0164
  0.5150     -1.3725      0.2652      1.8838
  0.5262     -1.3175      0.2769      1.7358
  0.4200     -1.2600      0.1764      1.5876
  0.7025     -1.4925      0.4935      2.2276
  0.7913     -1.5425      0.6261      2.3793
  0.7225     -1.5075      0.5220      2.2726
  0.7288     -1.4850      0.5311      2.2052
  0.7550     -1.4925      0.5700      2.2276
  0.2925     -1.3050      0.0856      1.7030
  0.4800     -1.3325      0.2304      1.7756
  0.2375     -1.2025      0.0564      1.4460
  0.5262     -1.3025      0.2769      1.6965
  0.1462     -1.3975      0.0214      1.9530
  0.3588     -1.3450      0.1287      1.8090
  0.5650     -1.4975      0.3192      2.2425
  0.7488     -1.4400      0.5606      2.0736
  0.7500     -1.5175      0.5625      2.3028
  0.7037     -1.3775      0.4953      1.8975
  0.7225     -1.4325      0.5220      2.0521
  0.7212     -1.4700      0.5202      2.1609
  0.5563     -1.3650      0.3094      1.8632
  0.7212     -1.4825      0.5202      2.1978
  0.7712     -1.5200      0.5948      2.3104
  0.6362     -1.3825      0.4048      1.9113
  0.3175     -1.3275      0.1008      1.7623
  0.4138     -1.3425      0.1712      1.8023
  0.7050     -1.3875      0.4970      1.9252
  0.7775     -1.4875      0.6045      2.2127
  0.7875     -1.4875      0.6202      2.2127
  0.4838     -1.3500      0.2340      1.8225
  0.6887     -1.3975      0.4744      1.9530
 -0.2975     -1.4925      0.0885      2.2276
 -0.5025     -1.4475      0.2525      2.0953
 -0.7037     -1.4775      0.4953      2.1830
 -0.0500     -1.3225      0.0025      1.7490
 -0.3237     -1.2950      0.1048      1.6770
 -0.8113     -1.5575      0.6581      2.4258
 -0.6837     -1.4075      0.4675      1.9811
 -0.5850     -1.3900      0.3422      1.9321
 -0.4788     -1.2975      0.2292      1.6835
 -0.5275     -1.3525      0.2783      1.8293
 -0.6350     -1.3600      0.4032      1.8496
 -0.6388     -1.4025      0.4080      1.9670
 -0.6225     -1.3475      0.3875      1.8158
 -0.5300     -1.3525      0.2809      1.8293
 -0.7425     -1.4750      0.5513      2.1756
 -0.5900     -1.3575      0.3481      1.8428
 -0.7000     -1.4750      0.4900      2.1756
 -0.6288     -1.3300      0.3953      1.7689
 -0.7362     -1.4250      0.5421      2.0306
 -0.6225     -1.3750      0.3875      1.8906
 -0.4487     -1.2400      0.2014      1.5376
 -0.6512     -1.4325      0.4241      2.0521
 -0.2725     -1.2300      0.0743      1.5129
 -0.2988     -1.3800      0.0893      1.9044
 -0.5787     -1.3500      0.3350      1.8225
 -0.2938     -1.3300      0.0863      1.7689
 -0.4662     -1.2950      0.2174      1.6770
 -0.7800     -1.4875      0.6084      2.2127
 -0.7688     -1.4575      0.5910      2.1243
 -0.0150     -1.3150      0.0002      1.7292
  0.0675     -1.2000      0.0046      1.4400
  0.2662     -1.3350      0.0709      1.7822
  0.7963     -1.4600      0.6340      2.1316
  0.6138     -1.3525      0.3767      1.8293
  0.5025     -1.4175      0.2525      2.0093
  0.4462     -1.3525      0.1991      1.8293
  0.5288     -1.3750      0.2796      1.8906
  0.6050     -1.3075      0.3660      1.7096
  0.7662     -1.5075      0.5871      2.2726
  0.1825     -1.2200      0.0333      1.4884
  0.6825     -1.3950      0.4658      1.9460
  0.2587     -1.2800      0.0670      1.6384
  0.0450     -1.3550      0.0020      1.8360
 -0.3962     -1.3475      0.1570      1.8158
 -0.5312     -1.2775      0.2822      1.6320
 -0.3787     -1.3300      0.1435      1.7689
 -0.6800     -1.3575      0.4624      1.8428
 -0.7388     -1.4350      0.5458      2.0592
 -0.5900     -1.3525      0.3481      1.8293
 -0.5000     -1.3425      0.2500      1.8023
 -0.7875     -1.5350      0.6202      2.3562
 -0.6863     -1.4100      0.4709      1.9881
 -0.7913     -1.5275      0.6261      2.3333
 -0.6625     -1.3350      0.4389      1.7822
 -0.4150     -1.2525      0.1722      1.5688
 -0.4113     -1.3600      0.1691      1.8496
 -0.6925     -1.4250      0.4796      2.0306
 -0.1800     -1.3000      0.0324      1.6900
 -0.1325     -1.2775      0.0176      1.6320
 -0.0712     -1.2850      0.0051      1.6512
 -0.1900     -1.3300      0.0361      1.7689
  0.6462     -1.4350      0.4176      2.0592
  0.7312     -1.4200      0.5347      2.0164
  0.2762     -1.2900      0.0763      1.6641
  0.7600     -1.4725      0.5776      2.1683
  0.7412     -1.3950      0.5495      1.9460
