 #m    m2    m4    e    e2    cv    xi    T
  1.286652E-04      5.405298E-03      8.747093E-05     -3.309031E-01      1.151699E-01      1.292024E-01      3.424753E-01      2.782000E+00
  2.333307E-06      5.437732E-03      8.830237E-05     -3.345746E-01      1.175444E-01      1.302439E-01      3.480342E-01      2.754000E+00
 -1.616093E-04      5.515776E-03      9.116471E-05     -3.379635E-01      1.198854E-01      1.344004E-01      3.566538E-01      2.726000E+00
  1.924423E-04      5.641675E-03      9.479886E-05     -3.417024E-01      1.224862E-01      1.386475E-01      3.685797E-01      2.698000E+00
 -6.405484E-05      5.664702E-03      9.603964E-05     -3.455185E-01      1.250403E-01      1.398792E-01      3.739672E-01      2.670000E+00
  1.573316E-04      5.689142E-03      9.812774E-05     -3.491138E-01      1.275978E-01      1.443778E-01      3.795598E-01      2.642000E+00
  1.637204E-04      5.786295E-03      9.879080E-05     -3.538391E-01      1.309492E-01      1.482550E-01      3.901765E-01      2.614000E+00
  1.632204E-04      5.880774E-03      1.031194E-04     -3.578881E-01      1.338173E-01      1.511209E-01      4.008409E-01      2.586000E+00
  8.594349E-05      5.911186E-03      1.038522E-04     -3.623232E-01      1.371062E-01      1.569975E-01      4.073255E-01      2.558000E+00
  1.177765E-04      5.965901E-03      1.047525E-04     -3.659559E-01      1.397972E-01      1.617411E-01      4.156451E-01      2.530000E+00
 -3.117743E-04      6.105608E-03      1.110868E-04     -3.709644E-01      1.434396E-01      1.640160E-01      4.301330E-01      2.502000E+00
  9.049899E-05      6.127785E-03      1.133065E-04     -3.754115E-01      1.468202E-01      1.695202E-01      4.365875E-01      2.474000E+00
 -8.227686E-05      6.228950E-03      1.155992E-04     -3.810392E-01      1.510312E-01      1.720639E-01      4.488756E-01      2.446000E+00
 -2.553305E-04      6.314674E-03      1.181962E-04     -3.852572E-01      1.543512E-01      1.787197E-01      4.603183E-01      2.418000E+00
 -1.966645E-05      6.404939E-03      1.215115E-04     -3.907837E-01      1.586270E-01      1.825317E-01      4.723731E-01      2.390000E+00
 -1.278875E-04      6.496711E-03      1.256317E-04     -3.960003E-01      1.626837E-01      1.853781E-01      4.848201E-01      2.362000E+00
  4.022178E-05      6.605480E-03      1.297266E-04     -4.008899E-01      1.666751E-01      1.929251E-01      4.988518E-01      2.334000E+00
 -7.866579E-05      6.741560E-03      1.351717E-04     -4.068917E-01      1.715699E-01      1.991854E-01      5.153103E-01      2.306000E+00
  4.623838E-04      6.766615E-03      1.372498E-04     -4.120623E-01      1.758437E-01      2.054468E-01      5.235668E-01      2.278000E+00
 -1.900534E-04      6.952856E-03      1.437140E-04     -4.180387E-01      1.808519E-01      2.122350E-01      5.446864E-01      2.250000E+00
 -2.768303E-04      7.108874E-03      1.507946E-04     -4.239868E-01      1.858063E-01      2.156875E-01      5.639235E-01      2.222000E+00
  2.517194E-04      7.145632E-03      1.526685E-04     -4.300713E-01      1.910842E-01      2.242063E-01      5.740745E-01      2.194000E+00
  1.046655E-04      7.374824E-03      1.622894E-04     -4.367005E-01      1.968878E-01      2.322055E-01      6.001512E-01      2.166000E+00
 -1.596649E-04      7.437911E-03      1.648150E-04     -4.431082E-01      2.025589E-01      2.396209E-01      6.132109E-01      2.138000E+00
  3.383296E-05      7.573231E-03      1.698543E-04     -4.501401E-01      2.088549E-01      2.466081E-01      6.326547E-01      2.110000E+00
  3.891623E-04      7.806292E-03      1.804575E-04     -4.572757E-01      2.154124E-01      2.566434E-01      6.608817E-01      2.082000E+00
 -1.373874E-04      7.905389E-03      1.844430E-04     -4.643223E-01      2.218943E-01      2.631771E-01      6.784062E-01      2.054000E+00
 -2.634971E-04      8.129099E-03      1.978625E-04     -4.708539E-01      2.280641E-01      2.731447E-01      7.072408E-01      2.026000E+00
 -4.864946E-04      8.287135E-03      2.035625E-04     -4.795329E-01      2.363047E-01      2.805117E-01      7.310795E-01      1.998000E+00
  5.427717E-04      8.510158E-03      2.151392E-04     -4.879562E-01      2.445728E-01      2.939267E-01      7.614203E-01      1.970000E+00
 -8.155465E-05      8.773658E-03      2.272448E-04     -4.958463E-01      2.523537E-01      3.033391E-01      7.963412E-01      1.942000E+00
  2.846635E-04      9.097382E-03      2.475784E-04     -5.047734E-01      2.613593E-01      3.157864E-01      8.377968E-01      1.914000E+00
  2.277197E-04      9.248776E-03      2.522118E-04     -5.134945E-01      2.702276E-01      3.246298E-01      8.643870E-01      1.886000E+00
  1.667759E-04      9.552866E-03      2.712137E-04     -5.221593E-01      2.792812E-01      3.385703E-01      9.062641E-01      1.858000E+00
 -1.372763E-04      9.889399E-03      2.879277E-04     -5.328547E-01      2.906291E-01      3.523801E-01      9.525462E-01      1.830000E+00
  3.506072E-04      1.023517E-02      3.087930E-04     -5.422729E-01      3.007969E-01      3.657044E-01      1.001159E+00      1.802000E+00
 -3.499961E-06      1.051071E-02      3.236525E-04     -5.535134E-01      3.132524E-01      3.850833E-01      1.044351E+00      1.774000E+00
  1.521094E-04      1.099980E-02      3.561986E-04     -5.634383E-01      3.243202E-01      3.965007E-01      1.110472E+00      1.746000E+00
 -8.366018E-04      1.137210E-02      3.795771E-04     -5.749798E-01      3.375420E-01      4.144688E-01      1.166699E+00      1.718000E+00
 -5.355496E-04      1.188436E-02      4.171103E-04     -5.868998E-01      3.514658E-01      4.328983E-01      1.239501E+00      1.690000E+00
  4.494950E-04      1.230119E-02      4.457209E-04     -5.994258E-01      3.664683E-01      4.567068E-01      1.304599E+00      1.662000E+00
 -9.783225E-05      1.299756E-02      4.924964E-04     -6.128364E-01      3.828460E-01      4.804500E-01      1.402095E+00      1.634000E+00
  1.788869E-05      1.350616E-02      5.354333E-04     -6.270907E-01      4.005832E-01      5.016500E-01      1.482362E+00      1.606000E+00
 -6.936034E-04      1.426247E-02      5.983341E-04     -6.408729E-01      4.182032E-01      5.298532E-01      1.593093E+00      1.578000E+00
 -9.244897E-04      1.507379E-02      6.684419E-04     -6.568774E-01      4.391033E-01      5.587223E-01      1.714092E+00      1.550000E+00
  9.516005E-04      1.589900E-02      7.435219E-04     -6.719050E-01      4.591276E-01      5.837216E-01      1.841190E+00      1.522000E+00
  1.137154E-03      1.688274E-02      8.333052E-04     -6.888390E-01      4.823712E-01      6.216608E-01      1.991715E+00      1.494000E+00
 -1.547761E-04      1.814950E-02      9.508500E-04     -7.067213E-01      5.074259E-01      6.537501E-01      2.182218E+00      1.466000E+00
 -1.534427E-04      1.941847E-02      1.099447E-03     -7.243330E-01      5.327865E-01      6.928681E-01      2.380256E+00      1.438000E+00
  9.753781E-04      2.120030E-02      1.289537E-03     -7.452717E-01      5.638080E-01      7.428036E-01      2.650157E+00      1.410000E+00
