 #   corr_m    corr_e   u_corr
0.3576    1.9289           0
0.3571    1.9289           1
0.3567    1.9288           2
0.3562    1.9288           3
0.3558    1.9287           4
0.3553    1.9286           5
0.3549    1.9286           6
0.3544    1.9285           7
0.3540    1.9285           8
0.3535    1.9284           9
0.3531    1.9284          10
0.3526    1.9283          11
0.3522    1.9282          12
0.3517    1.9282          13
0.3513    1.9281          14
0.3508    1.9281          15
0.3504    1.9280          16
0.3500    1.9279          17
0.3495    1.9279          18
0.3491    1.9278          19
0.3486    1.9278          20
0.3482    1.9277          21
0.3477    1.9276          22
0.3473    1.9276          23
0.3468    1.9275          24
0.3464    1.9275          25
0.3459    1.9274          26
0.3455    1.9273          27
0.3450    1.9273          28
0.3446    1.9272          29
0.3441    1.9272          30
0.3437    1.9271          31
0.3432    1.9270          32
0.3428    1.9270          33
0.3424    1.9269          34
0.3419    1.9269          35
0.3415    1.9268          36
0.3410    1.9267          37
0.3406    1.9267          38
0.3401    1.9266          39
0.3397    1.9266          40
0.3392    1.9265          41
0.3388    1.9264          42
0.3383    1.9264          43
0.3379    1.9263          44
0.3374    1.9263          45
0.3370    1.9262          46
0.3365    1.9261          47
0.3361    1.9261          48
0.3356    1.9260          49
0.3352    1.9260          50
0.3347    1.9259          51
0.3343    1.9258          52
0.3339    1.9258          53
0.3334    1.9257          54
0.3330    1.9257          55
0.3325    1.9256          56
0.3321    1.9255          57
0.3316    1.9255          58
0.3312    1.9254          59
0.3307    1.9254          60
0.3303    1.9253          61
0.3298    1.9252          62
0.3294    1.9252          63
0.3289    1.9251          64
0.3285    1.9251          65
0.3280    1.9250          66
0.3276    1.9249          67
0.3271    1.9249          68
0.3267    1.9248          69
0.3262    1.9248          70
0.3258    1.9247          71
0.3254    1.9246          72
0.3249    1.9246          73
0.3245    1.9245          74
0.3240    1.9245          75
0.3236    1.9244          76
0.3231    1.9243          77
0.3227    1.9243          78
0.3222    1.9242          79
0.3218    1.9242          80
0.3213    1.9241          81
0.3209    1.9240          82
0.3204    1.9240          83
0.3200    1.9239          84
0.3195    1.9239          85
0.3191    1.9238          86
0.3186    1.9237          87
0.3182    1.9237          88
0.3177    1.9236          89
0.3173    1.9236          90
0.3168    1.9235          91
0.3164    1.9234          92
0.3160    1.9234          93
0.3155    1.9233          94
