 #m    m2    m4    e    e2    cv    xi    T
 -4.461062E-05      1.347786E-03      5.452139E-06     -3.306839E-01      1.107730E-01      1.294713E-01      3.415792E-01      2.782000E+00
  6.627704E-05      1.372375E-03      5.629713E-06     -3.341988E-01      1.130978E-01      1.309793E-01      3.513464E-01      2.754000E+00
 -1.066099E-04      1.368080E-03      5.615769E-06     -3.379031E-01      1.156133E-01      1.361323E-01      3.538425E-01      2.726000E+00
  1.153043E-04      1.402682E-03      5.883856E-06     -3.417916E-01      1.182446E-01      1.378409E-01      3.665566E-01      2.698000E+00
  1.659704E-05      1.412816E-03      5.986779E-06     -3.457371E-01      1.209676E-01      1.417764E-01      3.730802E-01      2.670000E+00
  6.973534E-05      1.432942E-03      6.161515E-06     -3.496607E-01      1.237061E-01      1.458106E-01      3.824039E-01      2.642000E+00
  6.002711E-05      1.452891E-03      6.280911E-06     -3.540511E-01      1.268022E-01      1.496195E-01      3.918811E-01      2.614000E+00
 -1.843035E-05      1.476214E-03      6.513978E-06     -3.579340E-01      1.295741E-01      1.536508E-01      4.024842E-01      2.586000E+00
 -2.319419E-06      1.477088E-03      6.584248E-06     -3.621285E-01      1.325850E-01      1.560193E-01      4.071307E-01      2.558000E+00
 -2.240253E-05      1.504350E-03      6.808893E-06     -3.670061E-01      1.361612E-01      1.616697E-01      4.192338E-01      2.530000E+00
 -1.866646E-05      1.522072E-03      6.948429E-06     -3.711317E-01      1.391998E-01      1.645598E-01      4.289196E-01      2.502000E+00
  5.854102E-05      1.540657E-03      7.098295E-06     -3.759582E-01      1.428189E-01      1.698346E-01      4.390695E-01      2.474000E+00
 -1.207764E-04      1.552438E-03      7.209016E-06     -3.808819E-01      1.465423E-01      1.733787E-01      4.474885E-01      2.446000E+00
  6.862424E-05      1.574450E-03      7.363235E-06     -3.856462E-01      1.502011E-01      1.782454E-01      4.590916E-01      2.418000E+00
  1.007489E-04      1.601590E-03      7.653764E-06     -3.906973E-01      1.541325E-01      1.836863E-01      4.724749E-01      2.390000E+00
  2.454139E-05      1.633582E-03      7.977965E-06     -3.960693E-01      1.583505E-01      1.869868E-01      4.876283E-01      2.362000E+00
 -1.286097E-04      1.655831E-03      8.172473E-06     -4.017398E-01      1.628719E-01      1.911744E-01      5.001946E-01      2.334000E+00
  8.333241E-07      1.672080E-03      8.365181E-06     -4.066083E-01      1.668458E-01      2.009410E-01      5.112413E-01      2.306000E+00
 -1.672759E-04      1.707920E-03      8.714397E-06     -4.122038E-01      1.714220E-01      2.051697E-01      5.286094E-01      2.278000E+00
 -2.008450E-04      1.749450E-03      9.129081E-06     -4.180840E-01      1.763120E-01      2.113824E-01      5.481976E-01      2.250000E+00
  9.754058E-05      1.751969E-03      9.188297E-06     -4.244720E-01      1.817078E-01      2.186797E-01      5.559145E-01      2.222000E+00
 -1.213737E-04      1.790621E-03      9.529888E-06     -4.306869E-01      1.870186E-01      2.237154E-01      5.754286E-01      2.194000E+00
 -1.048738E-04      1.831089E-03      1.002092E-05     -4.367354E-01      1.922785E-01      2.315504E-01      5.960415E-01      2.166000E+00
 -6.670759E-05      1.869913E-03      1.049428E-05     -4.434560E-01      1.981959E-01      2.379495E-01      6.166529E-01      2.138000E+00
 -3.734681E-05      1.923500E-03      1.107620E-05     -4.502453E-01      2.042667E-01      2.448217E-01      6.427433E-01      2.110000E+00
  1.993033E-05      1.945750E-03      1.132315E-05     -4.569062E-01      2.103356E-01      2.557490E-01      6.589223E-01      2.082000E+00
  1.050683E-04      1.958220E-03      1.150577E-05     -4.641614E-01      2.170188E-01      2.628824E-01      6.721818E-01      2.054000E+00
  5.355496E-05      2.032729E-03      1.238353E-05     -4.715933E-01      2.239738E-01      2.702979E-01      7.074041E-01      2.026000E+00
 -1.320819E-05      2.100088E-03      1.324129E-05     -4.799598E-01      2.319571E-01      2.818243E-01      7.410885E-01      1.998000E+00
  8.697126E-05      2.132326E-03      1.354390E-05     -4.876456E-01      2.393970E-01      2.904517E-01      7.631570E-01      1.970000E+00
 -6.770758E-05      2.187626E-03      1.420547E-05     -4.958213E-01      2.474495E-01      3.011282E-01      7.942386E-01      1.942000E+00
 -1.564149E-04      2.233028E-03      1.494714E-05     -5.042704E-01      2.559377E-01      3.173698E-01      8.225751E-01      1.914000E+00
 -1.522761E-04      2.322820E-03      1.617890E-05     -5.133568E-01      2.651838E-01      3.267834E-01      8.683556E-01      1.886000E+00
  2.175809E-04      2.386059E-03      1.701120E-05     -5.229488E-01      2.751174E-01      3.353511E-01      9.054301E-01      1.858000E+00
  2.327752E-04      2.466306E-03      1.805789E-05     -5.325796E-01      2.853197E-01      3.534173E-01      9.501985E-01      1.830000E+00
  1.659009E-04      2.556377E-03      1.952241E-05     -5.423638E-01      2.958588E-01      3.691789E-01      1.000215E+00      1.802000E+00
 -2.649137E-04      2.651896E-03      2.112127E-05     -5.530853E-01      3.076077E-01      3.818348E-01      1.053949E+00      1.774000E+00
 -1.819563E-04      2.706518E-03      2.170781E-05     -5.635975E-01      3.193830E-01      4.026159E-01      1.092923E+00      1.746000E+00
  1.549983E-05      2.853014E-03      2.404560E-05     -5.759017E-01      3.334108E-01      4.175567E-01      1.170870E+00      1.718000E+00
 -6.430484E-06      2.948639E-03      2.599304E-05     -5.872376E-01      3.466092E-01      4.347814E-01      1.230164E+00      1.690000E+00
  3.838846E-05      3.090490E-03      2.856557E-05     -5.998988E-01      3.616490E-01      4.519052E-01      1.311065E+00      1.662000E+00
 -1.594843E-04      3.233347E-03      3.114252E-05     -6.123071E-01      3.767115E-01      4.730833E-01      1.395163E+00      1.634000E+00
  2.449556E-04      3.315736E-03      3.279413E-05     -6.261718E-01      3.939184E-01      4.995247E-01      1.455642E+00      1.606000E+00
  5.142582E-04      3.551962E-03      3.741035E-05     -6.406370E-01      4.122794E-01      5.276854E-01      1.586927E+00      1.578000E+00
  1.138876E-05      3.739077E-03      4.175293E-05     -6.557818E-01      4.319369E-01      5.538216E-01      1.700830E+00      1.550000E+00
  6.509650E-05      4.008139E-03      4.779476E-05     -6.716925E-01      4.530910E-01      5.844614E-01      1.856760E+00      1.522000E+00
 -3.467461E-04      4.222820E-03      5.323634E-05     -6.886525E-01      4.761894E-01      6.150378E-01      1.992818E+00      1.494000E+00
 -4.412312E-04      4.551467E-03      6.158093E-05     -7.067871E-01      5.015541E-01      6.581496E-01      2.188905E+00      1.466000E+00
  5.851324E-04      4.896131E-03      7.168269E-05     -7.253929E-01      5.282399E-01      6.972822E-01      2.400445E+00      1.438000E+00
  4.344813E-04      5.324353E-03      8.415648E-05     -7.452430E-01      5.574679E-01      7.378978E-01      2.662321E+00      1.410000E+00
 -1.734564E-04      5.808162E-03      1.008370E-04     -7.662146E-01      5.892155E-01      7.865511E-01      2.963170E+00      1.382000E+00
 -1.069571E-04      6.406875E-03      1.227094E-04     -7.894148E-01      6.253494E-01      8.359646E-01      3.336222E+00      1.354000E+00
 -7.293530E-04      7.234500E-03      1.546481E-04     -8.134920E-01      6.640237E-01      9.040194E-01      3.846459E+00      1.326000E+00
  1.906340E-03      7.995458E-03      1.859841E-04     -8.396951E-01      7.074012E-01      9.680650E-01      4.341095E+00      1.298000E+00
