 #   corr_m    corr_e   u_corr
0.0047    2.0606         265
0.0044    2.0607         266
0.0040    2.0607         267
0.0037    2.0607         268
0.0033    2.0607         269
0.0029    2.0608         270
0.0026    2.0608         271
0.0022    2.0608         272
0.0018    2.0608         273
0.0015    2.0609         274
0.0011    2.0609         275
0.0008    2.0609         276
0.0004    2.0609         277
0.0000    2.0610         278
-.0003    2.0610         279
-.0007    2.0610         280
-.0010    2.0610         281
-.0014    2.0611         282
-.0018    2.0611         283
-.0021    2.0611         284
-.0025    2.0611         285
-.0029    2.0612         286
-.0032    2.0612         287
-.0036    2.0612         288
-.0039    2.0612         289
-.0043    2.0612         290
-.0047    2.0613         291
-.0050    2.0613         292
-.0054    2.0613         293
-.0057    2.0613         294
-.0061    2.0614         295
-.0065    2.0614         296
-.0068    2.0614         297
-.0072    2.0614         298
-.0076    2.0615         299
-.0079    2.0615         300
-.0080    2.0615         301
-.0080    2.0614         302
-.0081    2.0614         303
-.0082    2.0614         304
-.0083    2.0614         305
-.0083    2.0614         306
-.0084    2.0613         307
-.0085    2.0613         308
-.0085    2.0613         309
-.0086    2.0613         310
-.0087    2.0613         311
-.0087    2.0612         312
-.0088    2.0612         313
-.0089    2.0612         314
-.0090    2.0612         315
-.0090    2.0611         316
-.0091    2.0611         317
-.0092    2.0611         318
-.0092    2.0611         319
-.0093    2.0611         320
-.0094    2.0610         321
-.0095    2.0610         322
-.0095    2.0610         323
-.0096    2.0610         324
-.0097    2.0610         325
-.0097    2.0609         326
-.0098    2.0609         327
-.0099    2.0609         328
-.0099    2.0609         329
-.0100    2.0609         330
-.0101    2.0608         331
-.0102    2.0608         332
-.0102    2.0608         333
-.0103    2.0608         334
-.0104    2.0608         335
-.0104    2.0607         336
-.0105    2.0607         337
-.0106    2.0607         338
-.0107    2.0607         339
-.0107    2.0606         340
-.0108    2.0606         341
-.0109    2.0606         342
-.0109    2.0606         343
-.0110    2.0606         344
-.0111    2.0605         345
-.0111    2.0605         346
-.0112    2.0605         347
-.0113    2.0605         348
