 #   corr_m    corr_e   u_corr
0.4695    1.9974           0
0.4683    1.9972           1
0.4672    1.9970           2
0.4660    1.9968           3
0.4648    1.9966           4
0.4637    1.9964           5
0.4625    1.9962           6
0.4613    1.9960           7
0.4601    1.9958           8
0.4590    1.9956           9
0.4578    1.9953          10
0.4566    1.9951          11
0.4554    1.9949          12
0.4543    1.9947          13
0.4531    1.9945          14
0.4519    1.9943          15
0.4507    1.9941          16
0.4496    1.9939          17
0.4484    1.9937          18
0.4472    1.9935          19
0.4460    1.9933          20
0.4449    1.9931          21
0.4437    1.9929          22
0.4425    1.9926          23
0.4413    1.9924          24
0.4402    1.9922          25
0.4390    1.9920          26
0.4378    1.9918          27
0.4366    1.9916          28
0.4355    1.9914          29
0.4343    1.9912          30
0.4331    1.9910          31
0.4319    1.9908          32
0.4308    1.9906          33
0.4296    1.9904          34
0.4284    1.9902          35
0.4272    1.9899          36
0.4261    1.9897          37
0.4249    1.9895          38
0.4237    1.9893          39
0.4225    1.9891          40
0.4214    1.9889          41
0.4202    1.9887          42
0.4190    1.9885          43
0.4178    1.9883          44
0.4167    1.9881          45
0.4155    1.9879          46
0.4143    1.9877          47
0.4132    1.9874          48
0.4120    1.9872          49
0.4108    1.9870          50
0.4096    1.9868          51
0.4085    1.9866          52
0.4073    1.9864          53
0.4061    1.9862          54
0.4049    1.9860          55
0.4037    1.9858          56
0.4026    1.9856          57
0.4014    1.9854          58
0.4002    1.9852          59
0.3990    1.9850          60
0.3979    1.9847          61
0.3967    1.9845          62
0.3955    1.9843          63
0.3943    1.9841          64
0.3932    1.9839          65
0.3920    1.9837          66
0.3908    1.9835          67
0.3896    1.9833          68
0.3885    1.9831          69
0.3873    1.9829          70
0.3861    1.9827          71
0.3849    1.9825          72
0.3838    1.9822          73
0.3826    1.9820          74
0.3814    1.9818          75
0.3802    1.9816          76
0.3791    1.9814          77
0.3779    1.9812          78
0.3767    1.9810          79
0.3755    1.9808          80
0.3744    1.9806          81
0.3732    1.9804          82
0.3720    1.9802          83
0.3708    1.9800          84
0.3697    1.9797          85
0.3685    1.9795          86
0.3673    1.9793          87
0.3661    1.9791          88
0.3650    1.9789          89
0.3638    1.9787          90
0.3626    1.9785          91
0.3614    1.9783          92
0.3602    1.9781          93
0.3591    1.9779          94
0.3579    1.9777          95
0.3567    1.9775          96
0.3555    1.9773          97
0.3544    1.9770          98
0.3532    1.9768          99
0.3520    1.9766         100
0.3512    1.9766         101
0.3504    1.9766         102
0.3497    1.9766         103
0.3489    1.9766         104
0.3481    1.9766         105
0.3473    1.9766         106
0.3465    1.9766         107
0.3457    1.9766         108
0.3450    1.9766         109
0.3442    1.9766         110
0.3434    1.9766         111
0.3426    1.9766         112
0.3418    1.9766         113
0.3410    1.9766         114
0.3403    1.9766         115
0.3395    1.9766         116
0.3387    1.9766         117
0.3379    1.9766         118
0.3371    1.9766         119
0.3363    1.9767         120
0.3355    1.9767         121
0.3348    1.9767         122
0.3340    1.9767         123
0.3332    1.9767         124
0.3324    1.9767         125
0.3316    1.9767         126
0.3308    1.9767         127
0.3301    1.9767         128
0.3293    1.9767         129
0.3285    1.9767         130
0.3277    1.9767         131
0.3269    1.9767         132
0.3261    1.9767         133
0.3253    1.9767         134
0.3246    1.9767         135
0.3238    1.9767         136
0.3230    1.9767         137
0.3222    1.9767         138
0.3214    1.9767         139
0.3206    1.9767         140
0.3198    1.9767         141
0.3191    1.9767         142
0.3183    1.9767         143
0.3175    1.9767         144
0.3167    1.9767         145
0.3159    1.9767         146
0.3151    1.9767         147
0.3144    1.9767         148
0.3136    1.9767         149
0.3128    1.9767         150
0.3120    1.9767         151
0.3112    1.9767         152
0.3104    1.9767         153
0.3096    1.9767         154
0.3089    1.9767         155
0.3081    1.9767         156
0.3073    1.9767         157
0.3065    1.9767         158
0.3057    1.9767         159
0.3049    1.9767         160
0.3041    1.9767         161
0.3034    1.9767         162
0.3026    1.9767         163
0.3018    1.9767         164
0.3010    1.9767         165
0.3002    1.9767         166
0.2994    1.9767         167
0.2986    1.9767         168
0.2979    1.9767         169
0.2971    1.9767         170
0.2963    1.9767         171
0.2955    1.9767         172
0.2947    1.9767         173
0.2939    1.9767         174
0.2932    1.9767         175
0.2924    1.9767         176
0.2916    1.9767         177
0.2908    1.9767         178
0.2900    1.9767         179
0.2892    1.9767         180
0.2884    1.9767         181
0.2877    1.9767         182
0.2869    1.9767         183
0.2861    1.9767         184
0.2853    1.9767         185
0.2845    1.9767         186
0.2837    1.9767         187
0.2829    1.9767         188
0.2822    1.9767         189
0.2814    1.9767         190
0.2806    1.9767         191
0.2798    1.9767         192
0.2790    1.9767         193
0.2782    1.9767         194
0.2774    1.9768         195
0.2767    1.9768         196
0.2759    1.9768         197
0.2751    1.9768         198
0.2743    1.9768         199
0.2735    1.9768         200
0.2730    1.9768         201
0.2725    1.9768         202
0.2720    1.9767         203
0.2715    1.9767         204
0.2710    1.9767         205
0.2705    1.9767         206
0.2701    1.9767         207
0.2696    1.9767         208
0.2691    1.9767         209
0.2686    1.9767         210
0.2681    1.9767         211
0.2676    1.9767         212
0.2671    1.9767         213
0.2666    1.9767         214
0.2661    1.9767         215
0.2656    1.9767         216
0.2651    1.9767         217
0.2646    1.9767         218
0.2641    1.9767         219
0.2636    1.9767         220
0.2631    1.9767         221
0.2626    1.9767         222
0.2621    1.9767         223
0.2617    1.9767         224
0.2612    1.9767         225
0.2607    1.9766         226
0.2602    1.9766         227
0.2597    1.9766         228
0.2592    1.9766         229
0.2587    1.9766         230
0.2582    1.9766         231
0.2577    1.9766         232
0.2572    1.9766         233
0.2567    1.9766         234
0.2562    1.9766         235
0.2557    1.9766         236
0.2552    1.9766         237
0.2547    1.9766         238
0.2542    1.9766         239
0.2538    1.9766         240
0.2533    1.9766         241
0.2528    1.9766         242
0.2523    1.9766         243
0.2518    1.9766         244
0.2513    1.9766         245
0.2508    1.9766         246
0.2503    1.9766         247
