 #m    e    m2    e2    
  0.6600     -1.2800      0.4356      1.6384
  0.8600     -1.5200      0.7396      2.3104
  0.5600     -1.1600      0.3136      1.3456
 -0.9200     -1.6800      0.8464      2.8224
  0.3200     -1.2000      0.1024      1.4400
 -0.8000     -1.4400      0.6400      2.0736
 -0.0800     -1.0800      0.0064      1.1664
  0.8600     -1.5600      0.7396      2.4336
  0.7800     -1.4800      0.6084      2.1904
  0.9200     -1.7600      0.8464      3.0976
  0.4800     -0.8800      0.2304      0.7744
  0.6400     -1.2800      0.4096      1.6384
  0.8200     -1.5200      0.6724      2.3104
  0.8600     -1.6800      0.7396      2.8224
  0.9000     -1.6000      0.8100      2.5600
  0.7800     -1.4400      0.6084      2.0736
 -0.7800     -1.3200      0.6084      1.7424
 -0.8600     -1.6400      0.7396      2.6896
  0.7200     -1.6000      0.5184      2.5600
 -1.0000     -2.0000      1.0000      4.0000
  0.9200     -1.8000      0.8464      3.2400
 -0.2400     -1.2400      0.0576      1.5376
 -0.8200     -1.5600      0.6724      2.4336
 -0.9400     -1.7600      0.8836      3.0976
 -0.8000     -1.4400      0.6400      2.0736
 -0.9400     -1.8000      0.8836      3.2400
  0.9000     -1.6800      0.8100      2.8224
  0.9400     -1.8000      0.8836      3.2400
  0.8400     -1.6000      0.7056      2.5600
  0.6000     -1.4800      0.3600      2.1904
  0.5800     -1.4800      0.3364      2.1904
  0.9200     -1.7600      0.8464      3.0976
  0.5400     -0.9600      0.2916      0.9216
  0.9600     -1.8400      0.9216      3.3856
 -0.9600     -1.8400      0.9216      3.3856
  0.7000     -1.4400      0.4900      2.0736
 -0.7600     -1.3600      0.5776      1.8496
 -0.9400     -1.7600      0.8836      3.0976
  0.3800     -1.1600      0.1444      1.3456
 -0.8000     -1.5600      0.6400      2.4336
 -0.8800     -1.5600      0.7744      2.4336
 -0.3600     -1.3200      0.1296      1.7424
  0.8200     -1.3600      0.6724      1.8496
 -0.6600     -1.3200      0.4356      1.7424
 -0.8800     -1.6400      0.7744      2.6896
  0.8000     -1.4400      0.6400      2.0736
  0.7400     -1.3200      0.5476      1.7424
  0.8200     -1.5200      0.6724      2.3104
  0.6600     -1.4400      0.4356      2.0736
  0.4800     -1.2000      0.2304      1.4400
