 #m    e    m2    e2    
  0.6900     -1.2400      0.4761      1.5376
  0.6900     -1.2500      0.4761      1.5625
  0.8500     -1.7200      0.7225      2.9584
  0.7700     -1.4900      0.5929      2.2201
  0.8550     -1.5400      0.7310      2.3716
  0.7600     -1.4200      0.5776      2.0164
  0.7750     -1.4100      0.6006      1.9881
  0.6900     -1.3800      0.4761      1.9044
  0.7500     -1.4400      0.5625      2.0736
  0.7250     -1.4200      0.5256      2.0164
  0.4400     -1.2600      0.1936      1.5876
  0.5600     -1.2300      0.3136      1.5129
 -0.6750     -1.3300      0.4556      1.7689
 -0.7900     -1.4500      0.6241      2.1025
 -0.4600     -1.3400      0.2116      1.7956
 -0.5150     -1.2900      0.2652      1.6641
  0.2250     -1.2100      0.0506      1.4641
  0.6500     -1.4400      0.4225      2.0736
 -0.1250     -1.1300      0.0156      1.2769
 -0.4700     -1.3100      0.2209      1.7161
 -0.6300     -1.6400      0.3969      2.6896
  0.2150     -1.3400      0.0462      1.7956
  0.5250     -1.2000      0.2756      1.4400
 -0.8450     -1.5500      0.7140      2.4025
 -0.5550     -1.1500      0.3080      1.3225
  0.8750     -1.6700      0.7656      2.7889
  0.8900     -1.7200      0.7921      2.9584
  0.6800     -1.3200      0.4624      1.7424
  0.7250     -1.4000      0.5256      1.9600
  0.4750     -1.1100      0.2256      1.2321
 -0.8750     -1.6100      0.7656      2.5921
 -0.6200     -1.3300      0.3844      1.7689
 -0.6000     -1.3400      0.3600      1.7956
 -0.5700     -1.1000      0.3249      1.2100
 -0.7950     -1.5300      0.6320      2.3409
 -0.6550     -1.3800      0.4290      1.9044
 -0.7800     -1.4400      0.6084      2.0736
 -0.7450     -1.3100      0.5550      1.7161
 -0.7850     -1.4000      0.6162      1.9600
 -0.8300     -1.5300      0.6889      2.3409
  0.4600     -1.2800      0.2116      1.6384
  0.7600     -1.4500      0.5776      2.1025
  0.7600     -1.4100      0.5776      1.9881
  0.5850     -1.3000      0.3422      1.6900
  0.2350     -1.0800      0.0552      1.1664
 -0.4100     -1.1700      0.1681      1.3689
  0.8150     -1.5800      0.6642      2.4964
  0.7600     -1.5200      0.5776      2.3104
  0.7000     -1.4300      0.4900      2.0449
  0.6900     -1.4400      0.4761      2.0736
  0.0850     -1.1900      0.0072      1.4161
  0.7500     -1.3900      0.5625      1.9321
  0.5400     -1.3200      0.2916      1.7424
  0.7700     -1.4000      0.5929      1.9600
  0.6900     -1.3600      0.4761      1.8496
  0.9200     -1.7000      0.8464      2.8900
  0.7050     -1.3100      0.4970      1.7161
  0.7600     -1.4700      0.5776      2.1609
  0.2150     -1.3500      0.0462      1.8225
  0.4200     -1.3400      0.1764      1.7956
  0.4800     -1.2800      0.2304      1.6384
  0.8600     -1.6400      0.7396      2.6896
  0.8600     -1.6100      0.7396      2.5921
  0.9050     -1.7000      0.8190      2.8900
  0.7100     -1.3500      0.5041      1.8225
  0.5150     -1.2000      0.2652      1.4400
  0.6050     -1.3700      0.3660      1.8769
 -0.1450     -1.3400      0.0210      1.7956
 -0.8250     -1.5300      0.6806      2.3409
 -0.7650     -1.5000      0.5852      2.2500
